col,price,size,size type
SAN MATEO ATENCO CEN,15000,16,de 
SAN MATEO ATENCO CEN,12000,200,construidos
PARQUE INDUSTRIAL,30000,593,construidos
SAN MATEO ATENCO CEN,6000,250,construidos
SAN MATEO ATENCO CEN,250,1,construidos
SAN MATEO ATENCO CEN,25000,250,construidos
SAN MATEO ATENCO CEN,20000,300,construidos
CENTRO,35000,300,construidos
SAN MATEO ATENCO CEN,2500,30,construidos
TEPEYAC INSURGENTES,100000,700,construidos
CENTRO,700000,2000,construidos
SAN MATEO ATENCO CEN,3500,60,construidos
TEPEYAC INSURGENTES,25000,125,construidos
SAN FELIPE,45000,340,construidos
SAN MATEO ATENCO CEN,2950,12,construidos
CENTRO,35000,335,construidos
TEPEYAC INSURGENTES,25000,125,construidos
SAN MATEO ATENCO CEN,5400,53,construidos
TEPEYAC INSURGENTES,3200,14,construidos
SAN FELIPE,28000,200,de 
SAN FELIPE,197850,659,construidos
SAN FELIPE,43410,144,construidos
SAN FELIPE,55000,481,construidos
SAN FELIPE,19000,500,construidos
SAN FELIPE,100380,334,construidos
SAN FELIPE,28000,200,construidos
SAN FELIPE,19000,500,construidos
SAN FELIPE,19000,500,construidos
SAN FELIPE,20000,150,construidos
SAN FELIPE,20000,150,construidos
SALINAS VICTORIA,46250,,
SAN FELIPE,20000,150,construidos
SAN FELIPE,21000,212,construidos
SAN FELIPE,16000,272,construidos
CENTRO INDUSTRIAL TL,48000,250,construidos
CENTRO INDUSTRIAL TL,275,800,construidos
CENTRO INDUSTRIAL TL,23630,139,construidos
TABACALERA,21,925,construidos
TABACALERA,21,905,construidos
TABACALERA,21,938,construidos
TABACALERA,21,1555,construidos
TABACALERA,21,856,construidos
TABACALERA,21,1518,construidos
TABACALERA,100000,500,construidos
TABACALERA,10500,32,construidos
CONDESA,2500,100,construidos
TABACALERA,200,1300,construidos
CONDESA,3500,20,construidos
TABACALERA,17981,856,construidos
CONDESA,9000,200,construidos
TABACALERA,19435,925,construidos
CONDESA,16500,61,construidos
TABACALERA,10500,32,construidos
CONDESA,4500,1160,construidos
TABACALERA,12252,,
CONDESA,1800,10,construidos
TABACALERA,17754,807,construidos
CONDESA,43000,190,construidos
TABACALERA,11500,10,construidos
CONDESA,150000,400,construidos
TABACALERA,14950,13,construidos
CONDESA,11900,1,construidos
TABACALERA,99000,550,construidos
CONDESA,11400,1,construidos
TABACALERA,92500,383,construidos
CONDESA,44000,180,construidos
TABACALERA,12500,,
CONDESA,44000,180,construidos
TABACALERA,258400,680,construidos
CONDESA,120000,450,construidos
TABACALERA,100000,500,construidos
CONDESA,30000,110,construidos
TABACALERA,198500,445,construidos
TABACALERA,7200,6,construidos
CONDESA,5626,282,construidos
TABACALERA,258400,680,construidos
CONDESA,18000,52,construidos
CONDESA,38630,129,construidos
TABACALERA,21,900,construidos
CONDESA,25000,100,construidos
TABACALERA,29,1400,construidos
TABACALERA,29,1400,construidos
CONDESA,320,141,construidos
CONDESA,112000,350,construidos
TABACALERA,9114,900,construidos
CONDESA,320,350,construidos
TABACALERA,123500,650,construidos
TABACALERA,21,900,construidos
CONDESA,25000,1,construidos
TABACALERA,247000,1300,construidos
CONDESA,45120,141,construidos
CONDESA,40020,138,construidos
TABACALERA,39000,48,construidos
CONDESA,23200,80,construidos
TABACALERA,15200,16,construidos
TABACALERA,29700,36,construidos
CONDESA,21460,74,construidos
CONDESA,84500,184,construidos
TABACALERA,21,1024,construidos
CONDESA,25000,120,construidos
TABACALERA,17754,807,construidos
CONDESA,20000,13,construidos
TABACALERA,33086,1575,construidos
CONDESA,18000,55,construidos
TABACALERA,65000,223,de 
CONDESA,350,3761,construidos
TABACALERA,21,856,construidos
CONDESA,44000,180,construidos
TABACALERA,19435,925,construidos
CONDESA,141750,405,construidos
TABACALERA,17981,856,construidos
CONDESA,10000,39,construidos
TABACALERA,6500,15,de 
CONDESA,3900,45,construidos
TABACALERA,12500,50,de 
CONDESA,50000,282,construidos
TABACALERA,6500,15,de 
CONDESA,20750,18,construidos
TABACALERA,21517,1024,construidos
CONDESA,45500,200,construidos
TABACALERA,21,925,construidos
CONDESA,5626,282,construidos
TABACALERA,21,1555,construidos
CONDESA,7000,30,construidos
TABACALERA,32662,1555,construidos
CONDESA,49900,180,construidos
CONDESA,5626,282,construidos
CONDESA,58000,180,construidos
CONDESA,44000,180,construidos
CONDESA,48000,200,construidos
CONDESA,5000,30,construidos
CONDESA,81000,208,construidos
CONDESA,57000,60,construidos
CENTRO,25000,350,construidos
CENTRO,6000,45,construidos
CENTRO,40000,332,construidos
SAN FELIPE I,45000,340,cubiertos
SAN FELIPE I,28000,200,totales
POLITECNICO DON VASC,4200,15,construidos
MORELIA,3500,16,construidos
LOMAS DE CHAPULTEPEC V SECCION,45000,102,construidos
SAN FELIPE I,28000,200,cubiertos
BOSQUE ESMERALDA,10500,18,construidos
MORELIA,22000,300,construidos
BOSQUES DE LAS LOMAS,69000,,
SAN FELIPE I,21000,212,cubiertos
LOMAS DE CHAPULTEPEC V SECCION,90000,202,construidos
BOSQUE ESMERALDA,75000,122,construidos
MORELIA,3500,16,construidos
BOSQUES DE LAS LOMAS,76000,200,construidos
SAN FELIPE I,16000,272,cubiertos
LOMAS DE CHAPULTEPEC V SECCION,30000,60,construidos
BOSQUE ESMERALDA,400,980,construidos
MORELIA,3500,30,construidos
BOSQUES DE LAS LOMAS,69000,193,construidos
MORELIA,3500,16,construidos
LOMAS DE CHAPULTEPEC V SECCION,30000,60,construidos
BOSQUE ESMERALDA,392000,980,construidos
BOSQUES DE LAS LOMAS,220000,500,construidos
MORELIA,3500,16,construidos
LOMAS DE CHAPULTEPEC V SECCION,49000,102,construidos
BOSQUE ESMERALDA,17220,41,construidos
BOSQUES DE LAS LOMAS,3150,150,construidos
MORELIA,3500,16,construidos
LOMAS DE CHAPULTEPEC V SECCION,65000,150,construidos
BOSQUES DE LAS LOMAS,10800,18,construidos
BOSQUE ESMERALDA,11000,20,construidos
MORELIA,20000,264,construidos
LOMAS DE CHAPULTEPEC V SECCION,33,,
MORELIA,4200,15,construidos
BOSQUES DE LAS LOMAS,3800,190,construidos
BOSQUE ESMERALDA,21840,52,construidos
LOMAS DE CHAPULTEPEC V SECCION,9000,,
BOSQUE ESMERALDA,79300,122,construidos
BOSQUES DE LAS LOMAS,22,200,construidos
MORELIA,5000,15,construidos
LOMAS DE CHAPULTEPEC V SECCION,200000,408,construidos
BOSQUES DE LAS LOMAS,38000,95,construidos
BOSQUE ESMERALDA,38312,91,construidos
MORELIA,110000,730,construidos
LOMAS DE CHAPULTEPEC V SECCION,12600,450,construidos
BOSQUES DE LAS LOMAS,36000,90,construidos
BOSQUE ESMERALDA,31500,75,construidos
MORELIA,30000,140,construidos
LOMAS DE CHAPULTEPEC V SECCION,19012,679,construidos
BOSQUES DE LAS LOMAS,76650,210,construidos
BOSQUE ESMERALDA,21840,,
MORELIA,12000,110,construidos
LOMAS DE CHAPULTEPEC V SECCION,30,300,construidos
BOSQUES DE LAS LOMAS,166075,455,construidos
BOSQUE ESMERALDA,30000,800,construidos
MORELIA,2300,9,construidos
BOSQUE ESMERALDA,25620,61,construidos
BOSQUES DE LAS LOMAS,175000,323,construidos
LOMAS DE CHAPULTEPEC V SECCION,12000,400,construidos
MORELIA,5500,45,construidos
BOSQUE ESMERALDA,70000,122,construidos
BOSQUES DE LAS LOMAS,2557,135,construidos
LOMAS DE CHAPULTEPEC V SECCION,16500,489,construidos
MORELIA,3000,10,construidos
BOSQUES DE LAS LOMAS,9706,511,construidos
IND TLALNEPANTLA,3300,180,construidos
MORELIA,50000,350,construidos
LOMAS DE CHAPULTEPEC V SECCION,23580,786,construidos
BOSQUES DE LAS LOMAS,4266,225,construidos
LOMAS DE CHAPULTEPEC V SECCION,10460,,
MORELIA,3500,20,construidos
IND TLALNEPANTLA,7000,45,construidos
BOSQUES DE LAS LOMAS,450,235,construidos
MORELIA,7500,75,construidos
LOMAS DE CHAPULTEPEC V SECCION,74000,90,construidos
IND TLALNEPANTLA,7400,19,construidos
BOSQUES DE LAS LOMAS,4256,224,construidos
LOMAS DE CHAPULTEPEC V SECCION,100000,204,construidos
BOSQUES DE LAS LOMAS,5434,286,construidos
IND TLALNEPANTLA,200,102,construidos
LOMAS DE CHAPULTEPEC V SECCION,50000,102,construidos
IND TLALNEPANTLA,17000,110,construidos
BOSQUES DE LAS LOMAS,9690,510,construidos
LOMAS DE CHAPULTEPEC V SECCION,70000,150,construidos
IND TLALNEPANTLA,8000,90,construidos
BOSQUES DE LAS LOMAS,73000,237,construidos
LOMAS DE CHAPULTEPEC V SECCION,30,346,construidos
IND TLALNEPANTLA,12500,65,construidos
BOSQUES DE LAS LOMAS,1920,64,construidos
LOMAS DE CHAPULTEPEC V SECCION,30,1690,construidos
IND TLALNEPANTLA,360000,2000,construidos
BOSQUES DE LAS LOMAS,3150,150,construidos
LOMAS DE CHAPULTEPEC V SECCION,7831,261,construidos
IND TLALNEPANTLA,6500,57,construidos
BOSQUES DE LAS LOMAS,175175,455,construidos
LOMAS DE CHAPULTEPEC V SECCION,30,261,construidos
IND TLALNEPANTLA,35000,136,construidos
BOSQUES DE LAS LOMAS,722000,1900,construidos
LOMAS DE CHAPULTEPEC V SECCION,30,840,construidos
BOSQUES DE LAS LOMAS,60000,160,construidos
IND TLALNEPANTLA,75000,220,construidos
LOMAS DE CHAPULTEPEC V SECCION,13677,455,construidos
BOSQUES DE LAS LOMAS,22,130,construidos
IND TLALNEPANTLA,250,24095,construidos
LOMAS DE CHAPULTEPEC V SECCION,25200,840,construidos
BOSQUES DE LAS LOMAS,20000,610,construidos
IND TLALNEPANTLA,10500,48,construidos
BOSQUES DE LAS LOMAS,73000,245,construidos
LOMAS DE CHAPULTEPEC V SECCION,31320,1044,construidos
IND TLALNEPANTLA,3500,25,construidos
BOSQUES DE LAS LOMAS,265000,1050,construidos
LOMAS DE CHAPULTEPEC V SECCION,10385,346,construidos
IND TLALNEPANTLA,12500,65,construidos
BOSQUES DE LAS LOMAS,265000,1050,construidos
LOMAS DE CHAPULTEPEC V SECCION,30,1044,construidos
IND TLALNEPANTLA,6000,59,construidos
BOSQUES DE LAS LOMAS,105534,183,construidos
LOMAS DE CHAPULTEPEC V SECCION,50700,1690,construidos
IND TLALNEPANTLA,11800,50,construidos
BOSQUES DE LAS LOMAS,16000,,
LOMAS DE CHAPULTEPEC V SECCION,30,455,construidos
IND TLALNEPANTLA,112800,454,construidos
BOSQUES DE LAS LOMAS,20,628,construidos
LOMAS DE CHAPULTEPEC V SECCION,67000,110,construidos
IND TLALNEPANTLA,16999,76,construidos
BOSQUES DE LAS LOMAS,22,200,construidos
LOMAS DE CHAPULTEPEC V SECCION,65000,200,construidos
IND TLALNEPANTLA,1120000,4000,construidos
BOSQUES DE LAS LOMAS,6000,3,construidos
LOMAS DE CHAPULTEPEC V SECCION,30000,60,construidos
IND TLALNEPANTLA,420,,
LOMAS DE CHAPULTEPEC V SECCION,30000,60,construidos
IND TLALNEPANTLA,7800,65,construidos
BOSQUES DE LAS LOMAS,4500,285,construidos
LOMAS DE CHAPULTEPEC V SECCION,30000,60,construidos
IND TLALNEPANTLA,480,,
BOSQUES DE LAS LOMAS,10900,8,construidos
LOMAS DE CHAPULTEPEC V SECCION,54600,1820,construidos
IND TLALNEPANTLA,140000,500,construidos
BOSQUES DE LAS LOMAS,21800,12,construidos
LOMAS DE CHAPULTEPEC V SECCION,30,1820,construidos
IND TLALNEPANTLA,280,,
BOSQUES DE LAS LOMAS,8736,312,construidos
LOMAS DE CHAPULTEPEC V SECCION,30000,60,construidos
IND TLALNEPANTLA,560000,2000,construidos
BOSQUES DE LAS LOMAS,265000,1050,construidos
LOMAS DE CHAPULTEPEC V SECCION,30000,60,construidos
IND TLALNEPANTLA,7500,65,construidos
BOSQUES DE LAS LOMAS,6000,450,construidos
LOMAS DE CHAPULTEPEC V SECCION,3330,111,construidos
IND TLALNEPANTLA,7200,40,de 
BOSQUES DE LAS LOMAS,7000,50,construidos
LOMAS DE CHAPULTEPEC V SECCION,4980,166,construidos
IND TLALNEPANTLA,4500,35,construidos
BOSQUES DE LAS LOMAS,55000,130,construidos
LOMAS DE CHAPULTEPEC V SECCION,28860,962,construidos
IND TLALNEPANTLA,29950,170,construidos
BOSQUES DE LAS LOMAS,375,73,construidos
LOMAS DE CHAPULTEPEC V SECCION,160000,316,construidos
IND TLALNEPANTLA,5400,35,de 
BOSQUES DE LAS LOMAS,15000,20,construidos
LOMAS DE CHAPULTEPEC V SECCION,24016,632,construidos
IND TLALNEPANTLA,3500,90,construidos
BOSQUES DE LAS LOMAS,73000,237,construidos
LOMAS DE CHAPULTEPEC V SECCION,8550,245,construidos
IND TLALNEPANTLA,35000,136,construidos
BOSQUES DE LAS LOMAS,30000,80,construidos
LOMAS DE CHAPULTEPEC V SECCION,7800,223,construidos
IND TLALNEPANTLA,190,120,construidos
IND TLALNEPANTLA,7400,18,construidos
IND TLALNEPANTLA,19000,280,construidos
IND TLALNEPANTLA,13000,1000,construidos
IND TLALNEPANTLA,8700,18,construidos
IND TLALNEPANTLA,12500,,
IND TLALNEPANTLA,6600,94,construidos
IND TLALNEPANTLA,50000,313,construidos
IND TLALNEPANTLA,19800,200,construidos
IND TLALNEPANTLA,77000,285,construidos
IND TLALNEPANTLA,17000,249,construidos
IND TLALNEPANTLA,139000,590,construidos
IND TLALNEPANTLA,16000,149,construidos
IND TLALNEPANTLA,10530,7,construidos
IND TLALNEPANTLA,4700,67,construidos
ADOLFO LOPEZ MATEOS,15000,62,construidos
ADOLFO LOPEZ MATEOS,180000,600,construidos
MAGISTERIAL VISTA BE,9500,110,construidos
ADOLFO LOPEZ MATEOS,63870,212,construidos
MAGISTERIAL VISTA BE,8000,80,construidos
VERSALLES,152000,400,construidos
