"cliente_id","ventas"
"0063FF3F",17780249.2333097
"0066DFFD",15575203.8036374
"006D3IID",48988150.0735388
"008II83F",31306900.2396113
"008N6F3P",48887899.3039701
"008N6N86",39211774.7543214
"008NB6BF",21513238.5788466
"008NI8B6",19194734.6118036
"008NIN3P",50148573.980397
"00B06FIP",18669127.1037044
"00BDN30I",16370121.9176958
"00D3DII0",36812466.4718028
"00DIII63",62050395.8374686
"00FFI0FD",42446890.4598692
"00IBP0FB",63154173.9385459
"00IINNI0",17245402.5562691
"00NBPPFF",27454595.7218752
"00PIDPN8",85425005.9799494
"0308F8BP",25353141.7410715
"0308FB0P",52797129.2022561
"030F3F8I",61555656.151887
"0336FNDD",15004446.8719919
"033PDI36",14335165.473511
"03BN08IB",37898494.5937757
"03D303P3",36837540.2622079
"060FNBNP",22772674.076623
"080B3N0F",18860944.533164
"0833N0I6",18635590.5369769
"083PIFBN",41315931.3272928
"08D3FDD3",39749100.2705694
"08DDPNP6",43065491.7279482
"08DDPP8F",14683257.4694367
"0B03BIP8",18835145.3312249
"0B60I3I3",14772106.1796521
"0B88DDFI",47098267.0197343
"0B8BF3B6",31356278.7386745
"0BBD0DFD",20344028.4478505
"0BBDB63F",366987162.117751
"0BDDBN30",32696724.0258559
"0BIBIBP6",14686081.1273716
"0BN306FF",17807863.7382489
"0BNF80IF",18970536.3876362
"0BNI6NDB",15858469.3263552
"0D3PP6DB",15077872.7062407
"0D6FDNNP",28804536.9599958
"0DFB86F6",21869253.9411869
"0DN8I0II",32068800.3296245
"0DNDDD66",48571654.7971351
"0DNFIF63",15397481.3151944
"0FFFPDF6",75345615.5288598
"0I0P3633",14847196.051999
"0I308NN8",15936434.3914644
"0I6PBBFI",16300944.62649
"0I80F3NB",35053178.6620003
"0I8FPF00",14697469.0860761
"0IB88NP6",16599529.2261056
"0IBFNB0P",16642768.2214507
"0ID0I3PD",24437549.5117812
"0IDD863N",52507397.5452495
"0N00NB80",40579417.8850992
"3000F3PN",65433755.278891
"3008P033",22689874.7471706
"300D6838",24957818.3681143
"300FP036",29061522.4968947
"300I80BN",19100709.692933
"300I8P83",14855128.2872273
"300PNDDF",17200193.7091868
"3033BNII",15633711.9701546
"30380380",14683257.4694367
"303NFFBI",23244785.8075876
"3060IF0D",44157551.9223682
"306883I0",14687985.5476343
"306DIIBD",30786922.1435303
"306FND8B",28132067.1409475
"306IN3N6",37286119.1941307
"306NP0B6",42819509.5555343
"30808BDI",13006168.686624
"30808I0P",14742586.0727783
"3080BDDD",14681250.9325862
"3080DF6F",13073148.7226127
"308360DN",17500810.0925077
"30868F0F",140184316.749646
"3086B3FN",40303176.9742231
"30883DFD",16904842.6936991
"308888D3",32527036.6627698
"30888D88",57120087.4785813
"3088IBD8",18389936.7618693
"3088PP6D",14746135.5178409
"308FIFF0",17204157.7449312
"308I0FP6",14701674.5696361
"308I38P8",3778081.07381085
"308I8FBI",68734548.8196516
"30B3FP8P",42676639.8256733
"30BD6BB0",4106972.21090576
"30BFDPI0",20460156.6768391
"30BP3BD3",15308404.8594658
"30DP8BIN",22547216.4045781
"30F3NFFI",38784514.2060867
"30F8B6I0",13482537.2682763
"30F8IIN3",15375469.6704531
"30F8P30D",16566551.1661463
"30FB6D00",51691424.4029222
"30FB6D0I",35933874.7639131
"30FDD386",14681250.9325862
"30FIDB60",19999169.4369863
"30FP68BI",13617566.8047912
"30FPDDD6",17438601.7796854
"30ID36IN",15726544.2344295
"30IN0FBN",15075730.5783591
"30IP63BF",21809187.357459
"30N8N8B0",14670495.9424088
"30NFINIB",32077524.6024783
"30NPNF80",14681250.9325862
"30P0B8FP",14681250.9325862
"30P30F03",10941812.537756
"30P8N3N6",17571315.8567481
"30PBI3BF",21412078.854783
"30PI3N08",14743691.2071422
"30PI88N0",55227891.6258339
"30PII8DD",17410551.8294226
"30PINFNP",24026314.3216135
"33033BI3",26084257.3696427
"3303II38",43300988.3751782
"33066630",190220889.285339
"330683DI",23136235.9386462
"3308DDPI",182290889.328701
"330B330I",58987749.6407664
"330DBPN0",37761503.812026
"330DBPPN",14887059.9809293
"330DD830",13594141.1645136
"330DDP68",44359640.7840185
"330DF6I8",15745292.2414213
"330DNFN6",19270460.4836382
"330IFFBI",22586715.9869213
"330IP0DB",15105920.6897234
"330IP3B8",27328503.4853333
"330N0N0D",60705327.41967
"330P86IB",8552357.37532132
"330PIIP6",17643332.3251503
"3336F86I",27410268.634781
"333BDN66",27617929.5279937
"333DINIP",17875078.2308015
"333PD360",14681250.9325862
"3360I68F",14708765.4945568
"336D0DB8",22293745.7180987
"336FBFDF",14822917.0340608
"336FFI88",31739869.1933394
"3383008B",84601598.8150889
"3383NIBF",14687985.5476343
"3388600N",27506880.796289
"338D06D3",16990587.5476053
"338P68NN",16475157.9287723
"338PNBI8",20463272.8525669
"33B0F0FN",29100483.5449411
"33B8P60D",275138570.7852
"33BF3PFN",23694055.5921339
"33BI3D0N",18755226.1335707
"33BN3D6B",14681250.9325862
"33BN833F",53007914.8828589
"33BP600D",26238312.8842968
"33BPB86D",39198591.6331595
"33D3BPN6",19304619.1589434
"33D803DB",14824917.983253
"33DD0BB8",12944217.5280355
"33DFF0B3",63253896.4173871
"33DI6N8B",62529858.6826463
"33DPII3B",49540865.1377295
"33F3I0FI",27825030.9806085
"33F3PINF",44304300.4279065
"33F6NNID",60989869.821823
"33F80DFD",23533268.9250242
"33FBI638",66109852.4730894
"33IBDFDP",15911557.6288501
"33IBPID0",14937501.585669
"33IDF0N6",63714931.3710146
"33IF3NPD",14687985.5476343
"33IF66P8",16429364.6410755
"33II0B6D",17434300.0299266
"33IN600F",31760364.5753851
"33IPN0FP",19589072.677428
"33N8DFNB",18927649.2858156
"33N8P0ND",14938602.785419
"33NB383I",25646695.7015263
"33ND6IDI",20298276.0334994
"33NPF8BI",18413107.0223245
"33P0I3FB",24102863.8549287
"33P3BD6B",44546912.5555413
"33P6BB80",33746071.3893609
"33P8FBPF",10754585.3386483
"33P8FI3D",32469880.5736618
"33PI068I",14547907.4476864
"33PI33F6",38368973.8645458
"33PN8D3I",43515553.4275458
"3606660I",36854990.1907421
"360666PP",16837875.8571851
"36066B3B",21915466.8709159
"36066I06",22702856.3837757
"3606D038",35249944.853231
"3606P0F8",22622423.666891
"3606P0NN",18877639.3852761
"3606P0PB",58035087.3088197
"3606P0PD",10217886.0295561
"3606P38N",203124250.351029
"3608B680",44312644.8504155
"3608B686",14912741.7135536
"3608B6ND",17378383.3913217
"3608D63N",45758693.4638595
"3608DB68",24587116.0690958
"3608F630",66990391.4882644
"3608F6N3",15994834.8129364
"3608F6PN",14912741.7135536
"3608FBP8",152704219.516913
"3608FD6I",15169495.3927991
"3608FI33",61101994.5957348
"3608FI63",14395383.1066721
"3608FINF",47890951.5409554
"3608FN38",54032722.4229542
"3608FNP3",15215893.907476
"3608FPIB",14805734.411287
"3608NDPB",63970812.8060644
"360F0F03",19661007.9811293
"360F6F0B",35326114.6096195
"360F6PIN",52395117.5121836
"360FDD0D",17312682.542386
"360IFDPD",14916257.0396701
"360P308I",7580558.33683708
"360P3I3I",24513890.1384724
"3630D3BP",30957565.43497
"3633868N",29487903.4953204
"36338DBF",16646126.6733901
"36338FF0",35544114.7723956
"36338FFN",15004446.8719919
"36338IBN",32692174.3493274
"3633BPBF",15261332.7188171
"3633DNI3",53898452.0722544
"3633I003",14912741.7135536
"3633I300",76351226.7120261
"3633IB68",67926465.6856983
"3633ID38",14914579.49256
"3633ID6N",15212301.7791935
"3633ID8N",80175637.4768814
"3633IDPN",20153760.1885935
"3633II8F",31467240.1772368
"3633IINB",15611352.0870976
"3633IN3B",67720012.872851
"36363BN0",17027578.3064677
"3638FB3F",21146330.030197
"3638N6IN",30130443.5886114
"3638P0I6",19817971.9724896
"363B3D3B",14834502.0309956
"363B8INB",23363636.9066849
"363BF6DF",16158799.4167921
"363BFFP6",39057462.6295364
"363BNB8I",23725833.2923197
"363D6N08",17129163.7806204
"363D6NFD",19504609.3919439
"363F8DII",21929270.8829492
"363FDIF8",41092907.4187127
"363FDIFI",99793057.6457418
"363FN0I0",25358974.6509207
"363FNDPD",17047012.9207827
"363I3N88",51387057.1981749
"363IN8II",14206703.3143207
"363IP3PB",29682432.8615024
"363NDB60",40842516.3923371
"3660383B",15111180.7152895
"36603IDI",30441865.340293
"36663BF6",74916346.4487443
"366686BN",84298610.6121676
"36686N0P",40530908.9927701
"3668DI33",74097230.9377166
"3668FDD3",15601482.0804419
"3668FFI6",82063583.3621919
"3668FFI8",54538957.6892055
"3668P830",64280990.7473465
"3668P83D",15004446.8719919
"3668P8D8",23360363.1959728
"3668PB6N",43829632.4772832
"3668PBBD",18118325.6458585
"3668PBIP",54761427.0092921
"3668PBP8",24197733.2229111
"3668PF00",15753006.6238289
"3668PI3B",30866558.7222947
"3668PN3I",16875769.9971048
"366D0P30",15549496.3981726
"366D6P0N",30071390.6477424
"366D8033",15500271.0726468
"366D808B",26555860.0818675
"366D80BI",55896859.6287455
"366D863F",68425680.7866597
"366DBFNB",38555117.7412838
"366DDNF0",45937202.8414067
"366DI6N6",15004446.8719919
"366DNFF3",15560495.4783875
"366DP0PN",35526434.8119279
"366F63B3",48511593.4198598
"366F63B8",34352983.6502789
"366FF6I8",69896556.8413994
"366FF6P3",28569800.0438489
"366FFIFD",25569549.0432289
"366FFPBF",35122739.1208104
"366FFPD6",14772106.1796521
"366FFPD8",34203823.71774
"366FI3BP",352772335.484057
"366FP33P",16823476.3475602
"366FPDBF",16158991.3304493
"366I660I",28574206.1724035
"366I683P",42908062.5529759
"366I6FFI",22798847.6034478
"366I6FNB",96650199.1245424
"366I6FP3",23737054.9846892
"366I6N6P",13989813.4101507
"366I6P0F",77447519.2517873
"366I6PBN",57779384.5134042
"366IBB6N",9281765.74584226
"366ID03N",18499992.8081805
"366II3DI",29323160.2448468
"366II6PD",24973052.8572223
"366II8D0",15013895.8661611
"366II8NB",63537142.0495306
"366IIB3D",44805728.16704
"366IIBFP",14783463.9490505
"366IIBID",20073546.086038
"366IIDB8",21408853.0829839
